Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
143,"Chris Ledlum",HOU,6,2,0,0,0,0,1,0,1,2,0,0,50.0,,0.14,0.00,-4.86
144,"Brendan Hausen",MEM,2,0,0,0,0,0,0,0,0,1,0,0,0.0,,-0.43,0.00,-4.99
145,"Donovan Atwell",CHI,16,0,1,1,2,0,0,0,0,5,0,1,0.0,0.0,-2.15,-0.73,-5.03
146,"Ben Saraf",BKN,16,2,0,1,2,0,2,0,0,3,1,2,0.0,50.0,-1.29,-0.45,-5.13
147,"Robbie Avila",LAL,2,0,0,0,0,0,1,0,0,0,0,0,,,0.00,0.00,-5.28
148,"AK Okereke",LAL,20,5,0,1,0,0,2,0,1,3,2,3,33.3,66.7,-0.29,-0.18,-5.30
149,"Lamar Wilkerson",OKC,9,0,1,0,0,0,0,0,0,3,0,0,0.0,,-1.29,0.00,-5.32
150,"Toby Okani",NY,8,0,0,0,0,0,0,0,0,2,0,0,0.0,,-0.86,0.00,-5.35
151,"Colby Jones",GS,14,2,2,0,1,0,3,0,1,5,0,0,20.0,,-1.15,0.00,-5.46
152,"Osayi Osifo",DEN,9,2,1,0,0,0,1,0,1,5,0,0,20.0,,-1.15,0.00,-5.55
153,"TJ Bamba",DEN,10,0,0,0,0,0,0,0,0,3,0,0,0.0,,-1.29,0.00,-5.71
154,"Deivon Smith",GS,11,0,5,1,0,0,2,0,0,2,0,1,0.0,0.0,-0.86,-0.73,-5.72
155,"Devon Higgs",ATL,20,2,2,0,0,0,3,0,0,1,1,2,0.0,50.0,-0.43,-0.45,-6.79
156,"Kobe Knox",ATL,17,2,3,0,0,1,0,0,1,5,0,3,20.0,0.0,-1.15,-2.18,-7.45
